Print-Nr,FunFact,Erstelldatum
1,Nur 5% aller Bienenarten sind soziale Bienen - 95% sind Einsiedlerbienen.,08/01/2023
2,Ende Sommer werden Drohnen von Arbeiterinnen nicht mehr in den Stock gelassen und sterben.,05/30/2023
3,"Eine Drohne schlüpft nach 24, eine Arbeiterin nach 21 und eine Königin nach 16 Tagen.",08/01/2023
4,Drohnen sind aufgrund ihrer langen Brutzeit anfälliger für Varroa-Milben.,08/01/2023
5,In einem starken Bienenvolk leben im Sommer rund 50.000 Bienen.,08/01/2023
6,"Sommerbienen leben durchschnittlich 35 Tage, Winterbienen bis zu 9 Monate.",08/01/2023
7,Eine Königin wird bis zu 5 Jahre alt und legt in diesem Zeitraum bis zu 50.000 Eier.,08/01/2023
8,"Um 1 kg Wachs auszuschwitzen, verbrauchen Bienen ca. 6 kg Honig.",08/01/2023
9,"Bienen produzieren Propolis, eine harzähnliche Masse, um damit ihren Bau zu verkitten.",08/01/2023
10,Mit dem Schwänzeltanz kommunizieren Bienen untereinander die Lage von Futterquellen.,08/01/2023
11,Die kleinste Bienenart der Welt - die Eye-Licking Bee - ist nur 2 mm groß.,08/17/2023
12,"Bienen sind rot-blind, können dafür aber ultraviolettes Licht wahrnehmen.",08/28/2023
1,Nur 5% aller Bienenarten sind soziale Bienen - 95% sind Einsiedlerbienen.,08/01/2023
2,Ende Sommer werden Drohnen von Arbeiterinnen nicht mehr in den Stock gelassen und sterben.,05/30/2023
3,"Eine Drohne schlüpft nach 24, eine Arbeiterin nach 21 und eine Königin nach 16 Tagen.",08/01/2023
4,Drohnen sind aufgrund ihrer langen Brutzeit anfälliger für Varroa-Milben.,08/01/2023
5,In einem starken Bienenvolk leben im Sommer rund 50.000 Bienen.,08/01/2023
6,"Sommerbienen leben durchschnittlich 35 Tage, Winterbienen bis zu 9 Monate.",08/01/2023
7,Eine Königin wird bis zu 5 Jahre alt und legt in diesem Zeitraum bis zu 50.000 Eier.,08/01/2023
8,"Um 1 kg Wachs auszuschwitzen, verbrauchen Bienen ca. 6 kg Honig.",08/01/2023
9,"Bienen produzieren Propolis, eine harzähnliche Masse, um damit ihren Bau zu verkitten.",08/01/2023
10,Mit dem Schwänzeltanz kommunizieren Bienen untereinander die Lage von Futterquellen.,08/01/2023
11,Die kleinste Bienenart der Welt - die Eye-Licking Bee - ist nur 2 mm groß.,08/17/2023
12,"Bienen sind rot-blind, können dafür aber ultraviolettes Licht wahrnehmen.",08/28/2023
1,Nur 5% aller Bienenarten sind soziale Bienen - 95% sind Einsiedlerbienen.,08/01/2023
2,Ende Sommer werden Drohnen von Arbeiterinnen nicht mehr in den Stock gelassen und sterben.,05/30/2023
3,"Eine Drohne schlüpft nach 24, eine Arbeiterin nach 21 und eine Königin nach 16 Tagen.",08/01/2023
4,Drohnen sind aufgrund ihrer langen Brutzeit anfälliger für Varroa-Milben.,08/01/2023
5,In einem starken Bienenvolk leben im Sommer rund 50.000 Bienen.,08/01/2023
6,"Sommerbienen leben durchschnittlich 35 Tage, Winterbienen bis zu 9 Monate.",08/01/2023
7,Eine Königin wird bis zu 5 Jahre alt und legt in diesem Zeitraum bis zu 50.000 Eier.,08/01/2023
8,"Um 1 kg Wachs auszuschwitzen, verbrauchen Bienen ca. 6 kg Honig.",08/01/2023
9,"Bienen produzieren Propolis, eine harzähnliche Masse, um damit ihren Bau zu verkitten.",08/01/2023
10,Mit dem Schwänzeltanz kommunizieren Bienen untereinander die Lage von Futterquellen.,08/01/2023
11,Die kleinste Bienenart der Welt - die Eye-Licking Bee - ist nur 2 mm groß.,08/17/2023
12,"Bienen sind rot-blind, können dafür aber ultraviolettes Licht wahrnehmen.",08/28/2023
1,Nur 5% aller Bienenarten sind soziale Bienen - 95% sind Einsiedlerbienen.,08/01/2023
2,Ende Sommer werden Drohnen von Arbeiterinnen nicht mehr in den Stock gelassen und sterben.,05/30/2023
3,"Eine Drohne schlüpft nach 24, eine Arbeiterin nach 21 und eine Königin nach 16 Tagen.",08/01/2023
4,Drohnen sind aufgrund ihrer langen Brutzeit anfälliger für Varroa-Milben.,08/01/2023
5,In einem starken Bienenvolk leben im Sommer rund 50.000 Bienen.,08/01/2023
6,"Sommerbienen leben durchschnittlich 35 Tage, Winterbienen bis zu 9 Monate.",08/01/2023
7,Eine Königin wird bis zu 5 Jahre alt und legt in diesem Zeitraum bis zu 50.000 Eier.,08/01/2023
8,"Um 1 kg Wachs auszuschwitzen, verbrauchen Bienen ca. 6 kg Honig.",08/01/2023
9,"Bienen produzieren Propolis, eine harzähnliche Masse, um damit ihren Bau zu verkitten.",08/01/2023
10,Mit dem Schwänzeltanz kommunizieren Bienen untereinander die Lage von Futterquellen.,08/01/2023
11,Die kleinste Bienenart der Welt - die Eye-Licking Bee - ist nur 2 mm groß.,08/17/2023
12,"Bienen sind rot-blind, können dafür aber ultraviolettes Licht wahrnehmen.",08/28/2023
